name,sort_num,sort_letter,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
49,49,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/49_silhouette_contour.svg,cm,15,10.2,15,TRUE,Item_49::Final_Geom,Item_49::Face_Curves,Item_49::Original_Curve,AutoCAD::Item_49::Scaled_Curve,AutoCAD::Item_49::Curve_Bbox,Item_49::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/49_silhouette.png,429,371,12,19,415,361,12,13,19,9
50,50,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/50_silhouette_contour.svg,cm,10.4,7.5,10.4,TRUE,Item_50::Final_Geom,Item_50::Face_Curves,Item_50::Original_Curve,AutoCAD::Item_50::Scaled_Curve,AutoCAD::Item_50::Curve_Bbox,Item_50::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/50_silhouette.png,645,549,26,28,614,543,26,30,28,5
51,51,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/51_silhouette_contour.svg,cm,7,7.5,7,TRUE,Item_51::Final_Geom,Item_51::Face_Curves,Item_51::Original_Curve,AutoCAD::Item_51::Scaled_Curve,AutoCAD::Item_51::Curve_Bbox,Item_51::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/51_silhouette.png,548,632,22,40,522,624,22,25,40,7
52,52,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/52_silhouette_contour.svg,cm,3.3,2.9,4.5,FALSE,Item_52::Final_Geom,Item_52::Face_Curves,Item_52::Original_Curve,AutoCAD::Item_52::Scaled_Curve,AutoCAD::Item_52::Curve_Bbox,Item_52::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/52_silhouette.png,321,346,16,18,307,333,16,13,18,12
53,53,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/53_silhouette_contour.svg,cm,3.3,2.9,4.5,FALSE,Item_53::Final_Geom,Item_53::Face_Curves,Item_53::Original_Curve,AutoCAD::Item_53::Scaled_Curve,AutoCAD::Item_53::Curve_Bbox,Item_53::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/53_silhouette.png,390,367,8,30,379,356,8,10,30,10
54,54,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/54_silhouette_contour.svg,cm,15,5,5,FALSE,Item_54::Final_Geom,Item_54::Face_Curves,Item_54::Original_Curve,AutoCAD::Item_54::Scaled_Curve,AutoCAD::Item_54::Curve_Bbox,Item_54::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/54_silhouette.png,368,276,12,12,354,273,12,13,12,2
55,55,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/55_silhouette_contour.svg,cm,11.4,11.4,11.4,TRUE,Item_55::Final_Geom,Item_55::Face_Curves,Item_55::Original_Curve,AutoCAD::Item_55::Scaled_Curve,AutoCAD::Item_55::Curve_Bbox,Item_55::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/55_silhouette.png,800,581,16,35,777,566,16,22,35,14
56,56,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/56_silhouette_contour.svg,cm,2.2,2.2,0.5,FALSE,Item_56::Final_Geom,Item_56::Face_Curves,Item_56::Original_Curve,AutoCAD::Item_56::Scaled_Curve,AutoCAD::Item_56::Curve_Bbox,Item_56::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/56_silhouette.png,800,785,19,10,776,767,19,23,10,17
57,57,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/57_silhouette_contour.svg,cm,12.5,7.6,10.7,TRUE,Item_57::Final_Geom,Item_57::Face_Curves,Item_57::Original_Curve,AutoCAD::Item_57::Scaled_Curve,AutoCAD::Item_57::Curve_Bbox,Item_57::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/57_silhouette.png,800,655,7,34,778,624,7,21,34,30
58,58,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg Contours/58_silhouette_contour.svg,cm,44.5,2.9,1.3,FALSE,Item_58::Final_Geom,Item_58::Face_Curves,Item_58::Original_Curve,AutoCAD::Item_58::Scaled_Curve,AutoCAD::Item_58::Curve_Bbox,Item_58::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Bloomberg Modified/Bloomberg SIlhouettes/Combined/58_silhouette.png,800,178,39,42,759,139,39,40,42,38
