name,sort_num,sort_letter,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
88,88,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/88_silhouette_contour.svg,cm,10.8,20.9,10.8,TRUE,Item_88::Final_Geom,Item_88::Face_Curves,Item_88::Original_Curve,AutoCAD::Item_88::Scaled_Curve,AutoCAD::Item_88::Curve_Bbox,Item_88::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/88_silhouette.png,439,800,33,23,409,771,33,29,23,28
89,89,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/89_silhouette_contour.svg,cm,5.7,14.3,5.7,TRUE,Item_89::Final_Geom,Item_89::Face_Curves,Item_89::Original_Curve,AutoCAD::Item_89::Scaled_Curve,AutoCAD::Item_89::Curve_Bbox,Item_89::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/89_silhouette.png,390,800,43,28,347,786,43,42,28,13
90,90,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/90_silhouette_contour.svg,cm,11.9,23.9,11.9,TRUE,Item_90::Final_Geom,Item_90::Face_Curves,Item_90::Original_Curve,AutoCAD::Item_90::Scaled_Curve,AutoCAD::Item_90::Curve_Bbox,Item_90::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/90_silhouette.png,398,800,29,12,372,784,29,25,12,15
91,91,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/91_silhouette_contour.svg,cm,9.8,5.7,6.3,FALSE,Item_91::Final_Geom,Item_91::Face_Curves,Item_91::Original_Curve,AutoCAD::Item_91::Scaled_Curve,AutoCAD::Item_91::Curve_Bbox,Item_91::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/91_silhouette.png,800,624,39,42,763,606,39,36,42,17
92,92,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/92_silhouette_contour.svg,cm,31.8,43.2,3.6,FALSE,Item_92::Final_Geom,Item_92::Face_Curves,Item_92::Original_Curve,AutoCAD::Item_92::Scaled_Curve,AutoCAD::Item_92::Curve_Bbox,Item_92::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/92_silhouette.png,608,800,13,24,594,787,13,13,24,12
93,93,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/93_silhouette_contour.svg,cm,42.8,12,8.5,FALSE,Item_93::Final_Geom,Item_93::Face_Curves,Item_93::Original_Curve,AutoCAD::Item_93::Scaled_Curve,AutoCAD::Item_93::Curve_Bbox,Item_93::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/93_silhouette.png,800,255,15,12,796,238,15,3,12,16
94,94,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/94_silhouette_contour.svg,cm,7.7,1.8,1.8,FALSE,Item_94::Final_Geom,Item_94::Face_Curves,Item_94::Original_Curve,AutoCAD::Item_94::Scaled_Curve,AutoCAD::Item_94::Curve_Bbox,Item_94::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/94_silhouette.png,800,391,25,79,777,293,25,22,79,97
95,95,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/95_silhouette_contour.svg,cm,7.3,8.1,1.3,FALSE,Item_95::Final_Geom,Item_95::Face_Curves,Item_95::Original_Curve,AutoCAD::Item_95::Scaled_Curve,AutoCAD::Item_95::Curve_Bbox,Item_95::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/95_silhouette.png,719,800,25,15,700,763,25,18,15,36
96,96,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/96_silhouette_contour.svg,cm,16.1,23.3,1.8,FALSE,Item_96::Final_Geom,Item_96::Face_Curves,Item_96::Original_Curve,AutoCAD::Item_96::Scaled_Curve,AutoCAD::Item_96::Curve_Bbox,Item_96::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/96_silhouette.png,533,800,23,8,528,780,23,4,8,19
97,97,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/97_silhouette_contour.svg,cm,27.7,20.2,10.9,TRUE,Item_97::Final_Geom,Item_97::Face_Curves,Item_97::Original_Curve,AutoCAD::Item_97::Scaled_Curve,AutoCAD::Item_97::Curve_Bbox,Item_97::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/97_silhouette.png,800,690,27,21,781,681,27,18,21,8
