name,sort_num,sort_letter,date_updated,units,h,w,d,criss_cross,contour_path,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
1,1,,4/20/2026,in,21.1875,30.15625,5,FALSE,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/1_silhouette_contour.svg,Item_1::Final_Geom,Item_1::Face_Curves,Item_1::Original_Curve,AutoCAD::Item_1::Scaled_Curve,AutoCAD::Item_1::Curve_Bbox,Item_1::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/1_silhouette.png,450,339,1,1,449,336,1,0,1,2
2,2,,4/17/26,in,18.5,28,7,FALSE,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/2_silhouette_contour.svg,Item_2::Final_Geom,Item_2::Face_Curves,Item_2::Original_Curve,AutoCAD::Item_2::Scaled_Curve,AutoCAD::Item_2::Curve_Bbox,Item_2::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/2_silhouette.png,1100,799,0,4,1091,789,0,8,4,9
4,4,,4/17/26,in,15,23,3.5,FALSE,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/4_silhouette_contour.svg,Item_4::Final_Geom,Item_4::Face_Curves,Item_4::Original_Curve,AutoCAD::Item_4::Scaled_Curve,AutoCAD::Item_4::Curve_Bbox,Item_4::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/4_silhouette.png,1035,809,0,0,1034,808,0,0,0,0
5,5,,4/17/26,in,2.875,4.125,1,FALSE,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/5_silhouette_contour.svg,Item_5::Final_Geom,Item_5::Face_Curves,Item_5::Original_Curve,AutoCAD::Item_5::Scaled_Curve,AutoCAD::Item_5::Curve_Bbox,Item_5::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/5_silhouette.png,404,287,3,6,396,279,3,7,6,7
7,7,,4/17/26,in,8.25,13,3,FALSE,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/7_silhouette_contour.svg,Item_7::Final_Geom,Item_7::Face_Curves,Item_7::Original_Curve,AutoCAD::Item_7::Scaled_Curve,AutoCAD::Item_7::Curve_Bbox,Item_7::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/7_silhouette.png,1117,710,0,4,1113,705,0,3,4,4
8,8,,4/20/2026,in,20,31.5,7.5,FALSE,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/8_silhouette_contour.svg,Item_8::Final_Geom,Item_8::Face_Curves,Item_8::Original_Curve,AutoCAD::Item_8::Scaled_Curve,AutoCAD::Item_8::Curve_Bbox,Item_8::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/8_silhouette.png,525,347,0,0,524,346,0,0,0,0
10,10,,,cm,235,164,1.5,FALSE,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/10_silhouette_contour.svg,Item_10::Final_Geom,Item_10::Face_Curves,Item_10::Original_Curve,AutoCAD::Item_10::Scaled_Curve,AutoCAD::Item_10::Curve_Bbox,Item_10::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/10_silhouette.png,550,800,8,10,539,789,8,10,10,10
11,11,,,cm,10,10,0.5,FALSE,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/11_silhouette_contour.svg,Item_11::Final_Geom,Item_11::Face_Curves,Item_11::Original_Curve,AutoCAD::Item_11::Scaled_Curve,AutoCAD::Item_11::Curve_Bbox,Item_11::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/11_silhouette.png,444,420,12,0,432,415,12,11,0,4
12,12,,4/20/2026,in,18.1875,15.4375,2.5,FALSE,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/12_silhouette_contour.svg,Item_12::Final_Geom,Item_12::Face_Curves,Item_12::Original_Curve,AutoCAD::Item_12::Scaled_Curve,AutoCAD::Item_12::Curve_Bbox,Item_12::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/12_silhouette.png,684,805,0,0,683,804,0,0,0,0
13,13,,4/20/2026,in,17.6875,15.375,2.5,FALSE,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/13_silhouette_contour.svg,Item_13::Final_Geom,Item_13::Face_Curves,Item_13::Original_Curve,AutoCAD::Item_13::Scaled_Curve,AutoCAD::Item_13::Curve_Bbox,Item_13::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/13_silhouette.png,908,1044,0,0,907,1043,0,0,0,0
14,14,,4/20/2026,in,25.8125,20.4375,2.5,FALSE,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/14_silhouette_contour.svg,Item_14::Final_Geom,Item_14::Face_Curves,Item_14::Original_Curve,AutoCAD::Item_14::Scaled_Curve,AutoCAD::Item_14::Curve_Bbox,Item_14::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/14_silhouette.png,1833,2315,0,0,1832,2314,0,0,0,0
16,16,,,cm,210,50,50,TRUE,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/16_silhouette_contour.svg,Item_16::Final_Geom,Item_16::Face_Curves,Item_16::Original_Curve,AutoCAD::Item_16::Scaled_Curve,AutoCAD::Item_16::Curve_Bbox,Item_16::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/16_silhouette.png,242,800,16,8,221,781,16,20,8,18
17,17,,,cm,86,61.4,46,TRUE,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/17_silhouette_contour.svg,Item_17::Final_Geom,Item_17::Face_Curves,Item_17::Original_Curve,AutoCAD::Item_17::Scaled_Curve,AutoCAD::Item_17::Curve_Bbox,Item_17::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/17_silhouette.png,574,800,13,40,562,769,13,11,40,30
20,20,,,cm,23.7,7.3,7.3,TRUE,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/20_silhouette_contour.svg,Item_20::Final_Geom,Item_20::Face_Curves,Item_20::Original_Curve,AutoCAD::Item_20::Scaled_Curve,AutoCAD::Item_20::Curve_Bbox,Item_20::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/20_silhouette.png,266,800,5,23,236,771,5,29,23,28
21,21,,,cm,25.1,5.1,4.8,TRUE,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/21_silhouette_contour.svg,Item_21::Final_Geom,Item_21::Face_Curves,Item_21::Original_Curve,AutoCAD::Item_21::Scaled_Curve,AutoCAD::Item_21::Curve_Bbox,Item_21::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/21_silhouette.png,198,800,11,11,184,789,11,13,11,10
22,22,,,cm,38.7,10.5,10.5,TRUE,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/22_silhouette_contour.svg,Item_22::Final_Geom,Item_22::Face_Curves,Item_22::Original_Curve,AutoCAD::Item_22::Scaled_Curve,AutoCAD::Item_22::Curve_Bbox,Item_22::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/22_silhouette.png,275,800,36,39,238,774,36,36,39,25
23,23,,4/17/26,in,11.75,3.5625,3.75,TRUE,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/23_silhouette_contour.svg,Item_23::Final_Geom,Item_23::Face_Curves,Item_23::Original_Curve,AutoCAD::Item_23::Scaled_Curve,AutoCAD::Item_23::Curve_Bbox,Item_23::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/23_silhouette.png,314,800,50,34,285,783,50,28,34,16
