name,sort_num,sort_letter,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
161a,161,a,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/161a_silhouette_contour.svg,cm,18,24,3,FALSE,Item_161a::Final_Geom,Item_161a::Face_Curves,Item_161a::Original_Curve,AutoCAD::Item_161a::Scaled_Curve,AutoCAD::Item_161a::Curve_Bbox,Item_161a::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/161a_silhouette.png,568,698,5,3,552,688,5,15,3,9
161b,161,b,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/161b_silhouette_contour.svg,cm,18,24,3,FALSE,Item_161b::Final_Geom,Item_161b::Face_Curves,Item_161b::Original_Curve,AutoCAD::Item_161b::Scaled_Curve,AutoCAD::Item_161b::Curve_Bbox,Item_161b::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/161b_silhouette.png,586,704,3,5,576,682,3,9,5,21
162a,162,a,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/162a_silhouette_contour.svg,cm,18,24,3,FALSE,Item_162a::Final_Geom,Item_162a::Face_Curves,Item_162a::Original_Curve,AutoCAD::Item_162a::Scaled_Curve,AutoCAD::Item_162a::Curve_Bbox,Item_162a::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/162a_silhouette.png,273,337,3,4,266,330,3,6,4,6
162b,162,b,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/162b_silhouette_contour.svg,cm,18,24,3,FALSE,Item_162b::Final_Geom,Item_162b::Face_Curves,Item_162b::Original_Curve,AutoCAD::Item_162b::Scaled_Curve,AutoCAD::Item_162b::Curve_Bbox,Item_162b::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/162b_silhouette.png,560,706,1,5,559,705,1,0,5,0
163,163,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/163_silhouette_contour.svg,cm,21.3,32.4,3,FALSE,Item_163::Final_Geom,Item_163::Face_Curves,Item_163::Original_Curve,AutoCAD::Item_163::Scaled_Curve,AutoCAD::Item_163::Curve_Bbox,Item_163::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/163_silhouette.png,1600,1376,26,25,1571,1358,26,28,25,17
164,164,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/164_silhouette_contour.svg,cm,58.7,49.7,3,FALSE,Item_164::Final_Geom,Item_164::Face_Curves,Item_164::Original_Curve,AutoCAD::Item_164::Scaled_Curve,AutoCAD::Item_164::Curve_Bbox,Item_164::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/164_silhouette.png,1600,1200,50,45,1561,1157,50,38,45,42
165,165,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/165_silhouette_contour.svg,cm,231.1,31.8,3,FALSE,Item_165::Final_Geom,Item_165::Face_Curves,Item_165::Original_Curve,AutoCAD::Item_165::Scaled_Curve,AutoCAD::Item_165::Curve_Bbox,Item_165::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/165_silhouette.png,1600,1260,37,27,1575,1233,37,24,27,26
166,166,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/166_silhouette_contour.svg,cm,21.2,33,3,FALSE,Item_166::Final_Geom,Item_166::Face_Curves,Item_166::Original_Curve,AutoCAD::Item_166::Scaled_Curve,AutoCAD::Item_166::Curve_Bbox,Item_166::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/166_silhouette.png,598,434,0,0,597,431,0,0,0,2
167,167,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/167_silhouette_contour.svg,cm,10.2,14.1,3,FALSE,Item_167::Final_Geom,Item_167::Face_Curves,Item_167::Original_Curve,AutoCAD::Item_167::Scaled_Curve,AutoCAD::Item_167::Curve_Bbox,Item_167::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/167_silhouette.png,1572,1080,0,0,1571,1079,0,0,0,0
168,168,,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/168_silhouette_contour.svg,cm,38,19,3,FALSE,Item_168::Final_Geom,Item_168::Face_Curves,Item_168::Original_Curve,AutoCAD::Item_168::Scaled_Curve,AutoCAD::Item_168::Curve_Bbox,Item_168::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/168_silhouette.png,1428,943,0,8,1427,942,0,0,8,0
