name,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
100,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/100_silhouette_contour.svg,cm,27.6,24.1,10.8,TRUE,Item_100::Final_Geom,Item_100::Face_Curves,Item_100::Original_Curve,AutoCAD::Item_100::Scaled_Curve,AutoCAD::Item_100::Curve_Bbox,Item_100::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/100_silhouette.png,3328,3360,198,187,3097,3148,198,230,187,211
101,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/101_silhouette_contour.svg,cm,17.2,39.8,17.2,TRUE,Item_101::Final_Geom,Item_101::Face_Curves,Item_101::Original_Curve,AutoCAD::Item_101::Scaled_Curve,AutoCAD::Item_101::Curve_Bbox,Item_101::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/101_silhouette.png,2000,3000,517,570,1554,2795,517,445,570,204
102,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/102_silhouette_contour.svg,cm,11.5,36.9,11.5,TRUE,Item_102::Final_Geom,Item_102::Face_Curves,Item_102::Original_Curve,AutoCAD::Item_102::Scaled_Curve,AutoCAD::Item_102::Curve_Bbox,Item_102::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/102_silhouette.png,2000,3000,655,300,1419,2829,655,580,300,170
103,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/103_silhouette_contour.svg,cm,6.6,4,6.6,TRUE,Item_103::Final_Geom,Item_103::Face_Curves,Item_103::Original_Curve,AutoCAD::Item_103::Scaled_Curve,AutoCAD::Item_103::Curve_Bbox,Item_103::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/103_silhouette.png,2000,3000,594,1416,1477,2152,594,522,1416,847
104,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/104_silhouette_contour.svg,cm,19.3,9,11.5,TRUE,Item_104::Final_Geom,Item_104::Face_Curves,Item_104::Original_Curve,AutoCAD::Item_104::Scaled_Curve,AutoCAD::Item_104::Curve_Bbox,Item_104::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/104_silhouette.png,3000,2000,819,660,2269,1411,819,730,660,588
105,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/105_silhouette_contour.svg,cm,53.5,72.7,4.5,FALSE,Item_105::Final_Geom,Item_105::Face_Curves,Item_105::Original_Curve,AutoCAD::Item_105::Scaled_Curve,AutoCAD::Item_105::Curve_Bbox,Item_105::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/105_silhouette.png,2000,3000,126,228,1861,2589,126,138,228,410
106,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/106_silhouette_contour.svg,cm,14.8,19.2,1.6,FALSE,Item_106::Final_Geom,Item_106::Face_Curves,Item_106::Original_Curve,AutoCAD::Item_106::Scaled_Curve,AutoCAD::Item_106::Curve_Bbox,Item_106::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/106_silhouette.png,2000,3000,312,550,1999,2843,312,0,550,156
107,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/107_silhouette_contour.svg,cm,4.8,24.5,5.4,TRUE,Item_107::Final_Geom,Item_107::Face_Curves,Item_107::Original_Curve,AutoCAD::Item_107::Scaled_Curve,AutoCAD::Item_107::Curve_Bbox,Item_107::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/107_silhouette.png,2000,3000,786,532,1183,2567,786,816,532,432
108,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/108_silhouette_contour.svg,cm,3,9.9,3,TRUE,Item_108::Final_Geom,Item_108::Face_Curves,Item_108::Original_Curve,AutoCAD::Item_108::Scaled_Curve,AutoCAD::Item_108::Curve_Bbox,Item_108::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/108_silhouette.png,2000,3000,748,802,1295,2624,748,704,802,375
109,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/109_silhouette_contour.svg,cm,47.5,11.4,1.2,FALSE,Item_109::Final_Geom,Item_109::Face_Curves,Item_109::Original_Curve,AutoCAD::Item_109::Scaled_Curve,AutoCAD::Item_109::Curve_Bbox,Item_109::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/109_silhouette.png,3000,2000,262,424,2721,1623,262,278,424,376
110,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/110_silhouette_contour.svg,cm,9.3,24,7.8,TRUE,Item_110::Final_Geom,Item_110::Face_Curves,Item_110::Original_Curve,AutoCAD::Item_110::Scaled_Curve,AutoCAD::Item_110::Curve_Bbox,Item_110::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/110_silhouette.png,2000,3000,520,510,1363,2737,520,636,510,262
111,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/111_silhouette_contour.svg,cm,4.9,6,4.9,TRUE,Item_111::Final_Geom,Item_111::Face_Curves,Item_111::Original_Curve,AutoCAD::Item_111::Scaled_Curve,AutoCAD::Item_111::Curve_Bbox,Item_111::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/111_silhouette.png,2000,3000,623,1385,1383,2287,623,616,1385,712
112,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/112_silhouette_contour.svg,cm,14.8,19.1,5.2,FALSE,Item_112::Final_Geom,Item_112::Face_Curves,Item_112::Original_Curve,AutoCAD::Item_112::Scaled_Curve,AutoCAD::Item_112::Curve_Bbox,Item_112::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/112_silhouette.png,2000,3000,391,553,1724,2266,391,275,553,733
113,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/113_silhouette_contour.svg,cm,18,15.4,14.3,TRUE,Item_113::Final_Geom,Item_113::Face_Curves,Item_113::Original_Curve,AutoCAD::Item_113::Scaled_Curve,AutoCAD::Item_113::Curve_Bbox,Item_113::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/113_silhouette.png,3000,2000,752,339,2525,1775,752,474,339,224
114,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/114_silhouette_contour.svg,cm,15,2.9,2.9,FALSE,Item_114::Final_Geom,Item_114::Face_Curves,Item_114::Original_Curve,AutoCAD::Item_114::Scaled_Curve,AutoCAD::Item_114::Curve_Bbox,Item_114::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/114_silhouette.png,3000,2000,660,688,2555,1381,660,444,688,618
115,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/115_silhouette_contour.svg,cm,4.8,19.8,4.8,TRUE,Item_115::Final_Geom,Item_115::Face_Curves,Item_115::Original_Curve,AutoCAD::Item_115::Scaled_Curve,AutoCAD::Item_115::Curve_Bbox,Item_115::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/3D Silhouettes/115_silhouette.png,3000,2000,690,851,2453,1429,690,546,851,570
