name,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
100,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/100_silhouette_contour.svg,,,,,,Item_100::Final_Geom,Item_100::Face_Curves,Item_100::Original_Curve,AutoCAD::Item_100::Scaled_Curve,AutoCAD::Item_100::Curve_Bbox,Item_100::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/100_silhouette.png,990,1000,59,55,921,937,59,68,55,62
101,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/101_silhouette_contour.svg,,,,,,Item_101::Final_Geom,Item_101::Face_Curves,Item_101::Original_Curve,AutoCAD::Item_101::Scaled_Curve,AutoCAD::Item_101::Curve_Bbox,Item_101::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/101_silhouette.png,667,1000,172,189,518,932,172,148,189,67
102,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/102_silhouette_contour.svg,,,,,,Item_102::Final_Geom,Item_102::Face_Curves,Item_102::Original_Curve,AutoCAD::Item_102::Scaled_Curve,AutoCAD::Item_102::Curve_Bbox,Item_102::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/102_silhouette.png,667,1000,218,99,472,942,218,194,99,57
103,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/103_silhouette_contour.svg,,,,,,Item_103::Final_Geom,Item_103::Face_Curves,Item_103::Original_Curve,AutoCAD::Item_103::Scaled_Curve,AutoCAD::Item_103::Curve_Bbox,Item_103::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/103_silhouette.png,667,1000,198,472,492,717,198,174,472,282
104,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/104_silhouette_contour.svg,,,,,,Item_104::Final_Geom,Item_104::Face_Curves,Item_104::Original_Curve,AutoCAD::Item_104::Scaled_Curve,AutoCAD::Item_104::Curve_Bbox,Item_104::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/104_silhouette.png,1000,667,273,220,756,470,273,243,220,196
105,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/105_silhouette_contour.svg,,,,,,Item_105::Final_Geom,Item_105::Face_Curves,Item_105::Original_Curve,AutoCAD::Item_105::Scaled_Curve,AutoCAD::Item_105::Curve_Bbox,Item_105::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/105_silhouette.png,667,1000,42,76,620,863,42,46,76,136
107,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/107_silhouette_contour.svg,,,,,,Item_107::Final_Geom,Item_107::Face_Curves,Item_107::Original_Curve,AutoCAD::Item_107::Scaled_Curve,AutoCAD::Item_107::Curve_Bbox,Item_107::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/107_silhouette.png,667,1000,262,177,394,855,262,272,177,144
108,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/108_silhouette_contour.svg,,,,,,Item_108::Final_Geom,Item_108::Face_Curves,Item_108::Original_Curve,AutoCAD::Item_108::Scaled_Curve,AutoCAD::Item_108::Curve_Bbox,Item_108::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/108_silhouette.png,667,1000,250,267,431,874,250,235,267,125
109,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/109_silhouette_contour.svg,,,,,,Item_109::Final_Geom,Item_109::Face_Curves,Item_109::Original_Curve,AutoCAD::Item_109::Scaled_Curve,AutoCAD::Item_109::Curve_Bbox,Item_109::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/109_silhouette.png,1000,667,87,141,907,541,87,92,141,125
110,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Contours/110_silhouette_contour.svg,,,,,,Item_110::Final_Geom,Item_110::Face_Curves,Item_110::Original_Curve,AutoCAD::Item_110::Scaled_Curve,AutoCAD::Item_110::Curve_Bbox,Item_110::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Heller Modified/Heller Silhouettes/Combined/110_silhouette.png,667,1000,174,170,454,912,174,212,170,87
