name,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
1,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/1_silhouette_contour.svg,,,,,,Item_1::Final_Geom,Item_1::Face_Curves,Item_1::Original_Curve,AutoCAD::Item_1::Scaled_Curve,AutoCAD::Item_1::Curve_Bbox,Item_1::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/1_silhouette.png,308,404,1,4,292,403,1,15,4,0
10,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/10_silhouette_contour.svg,,,,,,Item_10::Final_Geom,Item_10::Face_Curves,Item_10::Original_Curve,AutoCAD::Item_10::Scaled_Curve,AutoCAD::Item_10::Curve_Bbox,Item_10::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/10_silhouette.png,800,1164,12,15,785,1149,12,14,15,14
11,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/11_silhouette_contour.svg,,,,,,Item_11::Final_Geom,Item_11::Face_Curves,Item_11::Original_Curve,AutoCAD::Item_11::Scaled_Curve,AutoCAD::Item_11::Curve_Bbox,Item_11::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/11_silhouette.png,595,434,91,9,511,429,91,83,9,4
12,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/12_silhouette_contour.svg,,,,,,Item_12::Final_Geom,Item_12::Face_Curves,Item_12::Original_Curve,AutoCAD::Item_12::Scaled_Curve,AutoCAD::Item_12::Curve_Bbox,Item_12::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/12_silhouette.png,356,449,0,0,355,448,0,0,0,0
13,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/13_silhouette_contour.svg,,,,,,Item_13::Final_Geom,Item_13::Face_Curves,Item_13::Original_Curve,AutoCAD::Item_13::Scaled_Curve,AutoCAD::Item_13::Curve_Bbox,Item_13::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/13_silhouette.png,399,533,0,0,398,532,0,0,0,0
14,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/14_silhouette_contour.svg,,,,,,Item_14::Final_Geom,Item_14::Face_Curves,Item_14::Original_Curve,AutoCAD::Item_14::Scaled_Curve,AutoCAD::Item_14::Curve_Bbox,Item_14::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/Combined/14_silhouette.png,250,334,0,0,249,333,0,0,0,0
16,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/16_silhouette_contour.svg,cm,50,210,50,TRUE,Item_16::Final_Geom,Item_16::Face_Curves,Item_16::Original_Curve,AutoCAD::Item_16::Scaled_Curve,AutoCAD::Item_16::Curve_Bbox,Item_16::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/16_silhouette.png,1245,1658,457,119,822,1495,457,422,119,162
17,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/17_silhouette_contour.svg,cm,61.4,86,46,TRUE,Item_17::Final_Geom,Item_17::Face_Curves,Item_17::Original_Curve,AutoCAD::Item_17::Scaled_Curve,AutoCAD::Item_17::Curve_Bbox,Item_17::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/17_silhouette.png,2000,3000,221,530,1765,2579,221,234,530,420
18,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/18_silhouette_contour.svg,cm,11.6,35.5,9.6,TRUE,Item_18::Final_Geom,Item_18::Face_Curves,Item_18::Original_Curve,AutoCAD::Item_18::Scaled_Curve,AutoCAD::Item_18::Curve_Bbox,Item_18::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/18_silhouette.png,2000,3000,596,241,1396,2735,596,603,241,264
19,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Contours/19_silhouette_contour.svg,cm,14.3,44.7,12.8,TRUE,Item_19::Final_Geom,Item_19::Face_Curves,Item_19::Original_Curve,AutoCAD::Item_19::Scaled_Curve,AutoCAD::Item_19::Curve_Bbox,Item_19::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Kaplan Modified/Kaplan Silhouettes/3D Silhouettes/19_silhouette.png,651,866,225,56,456,798,225,194,56,67
