name,contour_path,units,w,h,d,criss_cross,layer_final_geom,layer_derived_curves,layer_original_curves,layer_scaled_curve,layer_curve_bbox,layer_images,picture_path,img_w,img_h,min_x,min_z,max_x,max_z,left_margin,right_margin,top_margin,bottom_margin
161a,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/161a_silhouette_contour.svg,,,,,,Item_161a::Final_Geom,Item_161a::Face_Curves,Item_161a::Original_Curve,AutoCAD::Item_161a::Scaled_Curve,AutoCAD::Item_161a::Curve_Bbox,Item_161a::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/161a_silhouette.png,284,349,3,2,275,343,3,8,2,5
161b,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/161b_silhouette_contour.svg,,,,,,Item_161b::Final_Geom,Item_161b::Face_Curves,Item_161b::Original_Curve,AutoCAD::Item_161b::Scaled_Curve,AutoCAD::Item_161b::Curve_Bbox,Item_161b::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/161b_silhouette.png,293,352,2,3,287,340,2,5,3,11
162a,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/162a_silhouette_contour.svg,,,,,,Item_162a::Final_Geom,Item_162a::Face_Curves,Item_162a::Original_Curve,AutoCAD::Item_162a::Scaled_Curve,AutoCAD::Item_162a::Curve_Bbox,Item_162a::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/162a_silhouette.png,278,349,8,7,271,333,8,6,7,15
162b,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/162b_silhouette_contour.svg,,,,,,Item_162b::Final_Geom,Item_162b::Face_Curves,Item_162b::Original_Curve,AutoCAD::Item_162b::Scaled_Curve,AutoCAD::Item_162b::Curve_Bbox,Item_162b::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/162b_silhouette.png,280,353,2,4,279,352,2,0,4,0
163,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/163_silhouette_contour.svg,,,,,,Item_163::Final_Geom,Item_163::Face_Curves,Item_163::Original_Curve,AutoCAD::Item_163::Scaled_Curve,AutoCAD::Item_163::Curve_Bbox,Item_163::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/163_silhouette.png,9198,7358,884,700,8498,7272,884,699,700,85
164,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/164_silhouette_contour.svg,,,,,,Item_164::Final_Geom,Item_164::Face_Curves,Item_164::Original_Curve,AutoCAD::Item_164::Scaled_Curve,AutoCAD::Item_164::Curve_Bbox,Item_164::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/164_silhouette.png,2048,1536,70,198,1936,1198,70,111,198,337
165,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/165_silhouette_contour.svg,,,,,,Item_165::Final_Geom,Item_165::Face_Curves,Item_165::Original_Curve,AutoCAD::Item_165::Scaled_Curve,AutoCAD::Item_165::Curve_Bbox,Item_165::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/165_silhouette.png,5000,3897,251,184,4776,3733,251,223,184,163
166,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/166_silhouette_contour.svg,,,,,,Item_166::Final_Geom,Item_166::Face_Curves,Item_166::Original_Curve,AutoCAD::Item_166::Scaled_Curve,AutoCAD::Item_166::Curve_Bbox,Item_166::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/166_silhouette.png,299,217,0,0,298,215,0,0,0,1
167,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/167_silhouette_contour.svg,,,,,,Item_167::Final_Geom,Item_167::Face_Curves,Item_167::Original_Curve,AutoCAD::Item_167::Scaled_Curve,AutoCAD::Item_167::Curve_Bbox,Item_167::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/167_silhouette.png,1136,540,174,0,961,539,174,174,0,0
168,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/168_silhouette_contour.svg,,,,,,Item_168::Final_Geom,Item_168::Face_Curves,Item_168::Original_Curve,AutoCAD::Item_168::Scaled_Curve,AutoCAD::Item_168::Curve_Bbox,Item_168::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/168_silhouette.png,714,536,14,20,713,456,14,0,20,79
169,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/169_silhouette_contour.svg,,,,,,Item_169::Final_Geom,Item_169::Face_Curves,Item_169::Original_Curve,AutoCAD::Item_169::Scaled_Curve,AutoCAD::Item_169::Curve_Bbox,Item_169::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/169_silhouette.png,339,452,0,22,300,449,0,38,22,2
171,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Contours/171_silhouette_contour.svg,,,,,,Item_171::Final_Geom,Item_171::Face_Curves,Item_171::Original_Curve,AutoCAD::Item_171::Scaled_Curve,AutoCAD::Item_171::Curve_Bbox,Item_171::Images,/Users/polinastepanova/Desktop/Work_2025-2026/LGA_Work/JM6/Silhouettes/Offit Modified/Offit Silhouettes/Combined/171_silhouette.png,673,530,0,0,670,529,0,2,0,0
